"song" "line" "artist"
"1" "93 Ave. B.Blues/Little Mouth" "And may I find my way" "Swans"
"2" "93 Ave. B.Blues/Little Mouth" "To the reason to come home" "Swans"
"3" "93 Ave. B.Blues/Little Mouth" "And may I find my way" "Swans"
"4" "93 Ave. B.Blues/Little Mouth" "To the foot of your throne" "Swans"
"5" "93 Ave. B.Blues/Little Mouth" "And may I find my name" "Swans"
"6" "93 Ave. B.Blues/Little Mouth" "Upon your breast" "Swans"
"7" "93 Ave. B.Blues/Little Mouth" "And may I find your little man" "Swans"
"8" "93 Ave. B.Blues/Little Mouth" "Thank you" "Swans"
"9" "YRP 2" "AAAAH" "Swans"
"10" "YRP 2" "AAAAH" "Swans"
"11" "YRP 2" "AAAAH" "Swans"
"12" "YRP 2" "AAAAH" "Swans"
"13" "YRP 2" "AAAAH" "Swans"
"14" "YRP 2" "AAAAH" "Swans"
"15" "YRP 2" "AAAAH" "Swans"
"16" "YRP 2" "AAAAH" "Swans"
"17" "YRP 2" "AAAAH" "Swans"
"18" "YRP 2" "AAAAH" "Swans"
"19" "YRP 2" "AAAAH" "Swans"
"20" "YRP 2" "AAAAH" "Swans"
"21" "YRP 2" "AAAAH" "Swans"
"22" "YRP 2" "AAAAH" "Swans"
"23" "YRP 2" "AAAAH" "Swans"
"24" "YRP 2" "AAAAH" "Swans"
"25" "YRP 2" "AAAAH" "Swans"
"26" "YRP 2" "AAAAH" "Swans"
"27" "YRP 2" "AAAAH" "Swans"
"28" "YRP 2" "AAAAH" "Swans"
"29" "YRP 2" "AAAAH" "Swans"
"30" "YRP 2" "AAAAH" "Swans"
"31" "Blackout" "Get drunk, get drunk" "Swans"
"32" "Blackout" "Breathe in, breathe in" "Swans"
"33" "Blackout" "Hold it in, hold it in" "Swans"
"34" "Blackout" "Don't breathe, don't breathe" "Swans"
"35" "Blackout" "Blackout, blackout" "Swans"
"36" "Blackout" "Blackout, blackout" "Swans"
"37" "Blackout" "Don't talk" "Swans"
"38" "Blackout" "Until you're spoken to" "Swans"
"39" "Blackout" "Don't talk" "Swans"
"40" "Blackout" "Until you're spoken to" "Swans"
"41" "Blackout" "Don't breathe, don't breathe" "Swans"
"42" "Blackout" "Blackout, blackout" "Swans"
"43" "Blackout" "Blackout, blackout" "Swans"
"44" "Blackout" "Blackout, blackout" "Swans"
"45" "Blackout" "Blackout, blackout" "Swans"
"46" "Blackout" "Blackout, blackout" "Swans"
"47" "You Need Me" "I'm sorry, I'm sorry" "Swans"
"48" "You Need Me" "I won't do it again" "Swans"
"49" "You Need Me" "I'm sorry, I love you" "Swans"
"50" "You Need Me" "I won't do it again" "Swans"
"51" "You Need Me" "I'm sorry, I need you" "Swans"
"52" "You Need Me" "I love you more than myself" "Swans"
"53" "You Need Me" "I'm sorry, I'm sorry" "Swans"
"54" "You Need Me" "I won't do it again" "Swans"
"55" "You Need Me" "I am your only friend" "Swans"
"56" "You Need Me" "I am your only friend" "Swans"
"57" "You Need Me" "I am your only friend" "Swans"
"58" "You Need Me" "I am your only friend" "Swans"
"59" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Aaaaaaaaaaah" "Swans"
"60" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Ooooooooooh" "Swans"
"61" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Aaaaaaaaaaah" "Swans"
"62" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Oooooooooh" "Swans"
